Name,Favorite,Rating,AniName,FavChar,CharName,Ranked,Popularity,Members
"Toyonaga, Toshiyuki",2419,0.0,Mecha-ude (TV),3,"Amatsuga, Hikaru",0,7758,6290
"Toyonaga, Toshiyuki",2419,0.0,Boku no Tsuma wa Kanjou ga Nai,0,"Kosugi, Takuma",0,6916,8386
"Toyonaga, Toshiyuki",2419,0.0,"Shinmai Ossan Boukensha, Saikyou Party ni Shinu hodo Kitaerarete Muteki ni Naru.",0,"Eldwarf, Mizett",0,7956,5913
"Toyonaga, Toshiyuki",2419,7.9,Wind Breaker,6,"Kiryuu, Mitsuki",802,1481,158075
"Toyonaga, Toshiyuki",2419,7.05,High Card Season 2,1,TILT,4428,3712,36544
"Toyonaga, Toshiyuki",2419,6.74,Boushoku no Berserk,0,"Alistair, Norden",6008,1446,162995
"Toyonaga, Toshiyuki",2419,6.9,Paradox Live the Animation,76,"Yatonokami, Nayuta",5155,3738,35828
"Toyonaga, Toshiyuki",2419,6.31,B-Project: Netsuretsu*Love Call,95,"Kaneshiro, Goushi",8411,8211,5501
"Toyonaga, Toshiyuki",2419,8.5,Shiguang Dailiren II,1913,"Cheng, Xiaoshi",133,1963,109334
"Toyonaga, Toshiyuki",2419,8.65,Bungou Stray Dogs 5th Season,170,"Tanizaki, Junichirou",73,1328,180585
"Toyonaga, Toshiyuki",2419,5.76,Opus.COLORs,0,"Nanba, Michitaka",10860,6616,9321
"Toyonaga, Toshiyuki",2419,8.22,Tengoku Daimakyou,10,Kona,345,480,472232
"Toyonaga, Toshiyuki",2419,6.68,Buddy Daddies Intermission: Cherry-Pick,190,"Kurusu, Kazuki",6347,7004,8142
"Toyonaga, Toshiyuki",2419,7.28,Fate/Grand Order: Fujimaru Ritsuka wa Wakaranai,105,Oberon,3047,7675,6485
"Toyonaga, Toshiyuki",2419,7.18,High Card,1,TILT,3675,1919,112437
"Toyonaga, Toshiyuki",2419,8.13,Buddy Daddies,190,"Kurusu, Kazuki",466,890,272965
"Toyonaga, Toshiyuki",2419,8.45,Bungou Stray Dogs 4th Season,170,"Tanizaki, Junichirou",154,846,288168
"Toyonaga, Toshiyuki",2419,7.54,Poputepipikku 2nd Season,542,Popuko,1831,3341,44275
"Toyonaga, Toshiyuki",2419,7.22,Akuyaku Reijou nanode Last Boss wo Kattemimashita,0,"Lizanis, Walt",3391,1392,169760
"Toyonaga, Toshiyuki",2419,6.0,Bucchigire!,1,"Toudou, Heisuke",9918,3747,35667
"Toyonaga, Toshiyuki",2419,7.78,Free! Movie 5: The Final Stroke - Kouhen,53,"Shiina, Asahi",1062,4044,30561
"Toyonaga, Toshiyuki",2419,0.0,Duel Masters King Max,0,Kira,19428,14684,709
"Toyonaga, Toshiyuki",2419,6.2,Gunjou no Fanfare,2,"Houshou, Hayato",8956,4443,24868
"Toyonaga, Toshiyuki",2419,6.57,Love All Play,0,"Misaki, Shougo",6973,3561,39632
"Toyonaga, Toshiyuki",2419,5.51,SpoGomi: World Cup Exhibition Match-hen,0,Shirou,11762,14557,740
"Toyonaga, Toshiyuki",2419,6.53,Sakugan,2,Yuri,7248,2064,101304
"Toyonaga, Toshiyuki",2419,7.76,Free! Movie 4: The Final Stroke - Zenpen,53,"Shiina, Asahi",1108,2864,59231
"Toyonaga, Toshiyuki",2419,6.8,100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,3,"Torii, Keita",5674,1445,163045
"Toyonaga, Toshiyuki",2419,6.7,Tsukipro The Animation 2,22,"Oohara, Sora",6234,7161,7658
"Toyonaga, Toshiyuki",2419,6.22,"Dragon Quest: Dai no Daibouken (2020): Bouken no Kiseki, Kore kara no Tabiji",288,Popp,8872,10602,2519
"Toyonaga, Toshiyuki",2419,7.58,Shiguang Dailiren Fan Wai Pian: Biwu Zhaoqin,1913,"Cheng, Xiaoshi",1659,3550,39858
"Toyonaga, Toshiyuki",2419,8.68,Shiguang Dailiren,1913,"Cheng, Xiaoshi",63,644,366321
